seed	vertices	directions	virtual_terminals	
1	10	L2	9	
1	10	L3	9	
1	10	L4	10	
1	10	L5	10	
1	20	L2	17	
1	20	L3	20	
1	20	L4	20	
1	20	L5	20	
1	30	L2	28	
1	30	L3	28	
1	30	L4	29	
1	30	L5	29	
1	40	L2	34	
1	40	L3	35	
1	40	L4	37	
1	40	L5	38	
1	50	L2	42	
1	50	L3	44	
1	50	L4	45	
1	50	L5	46	
1	60	L2	47	
1	60	L3	50	
1	60	L4	54	
1	60	L5	54	
1	70	L2	55	
1	70	L3	58	
1	70	L4	63	
1	70	L5	62	
1	80	L2	67	
1	80	L3	75	
1	80	L4	70	
1	80	L5	75	
1	90	L2	79	
1	90	L3	79	
1	90	L4	82	
1	90	L5	83	
1	100	L2	83	
1	100	L3	88	
1	100	L4	92	
1	100	L5	93	
2	10	L2	10	
2	10	L3	10	
2	10	L4	10	
2	10	L5	10	
2	20	L2	14	
2	20	L3	16	
2	20	L4	16	
2	20	L5	18	
2	30	L2	28	
2	30	L3	29	
2	30	L4	29	
2	30	L5	29	
2	40	L2	29	
2	40	L3	36	
2	40	L4	34	
2	40	L5	36	
2	50	L2	42	
2	50	L3	47	
2	50	L4	44	
2	50	L5	44	
2	60	L2	52	
2	60	L3	55	
2	60	L4	56	
2	60	L5	57	
2	70	L2	58	
2	70	L3	58	
2	70	L4	61	
2	70	L5	61	
2	80	L2	67	
2	80	L3	71	
2	80	L4	75	
2	80	L5	77	
2	90	L2	74	
2	90	L3	77	
2	90	L4	79	
2	90	L5	78	
2	100	L2	82	
2	100	L3	83	
2	100	L4	84	
2	100	L5	82	
3	10	L2	5	
3	10	L3	8	
3	10	L4	8	
3	10	L5	9	
3	20	L2	18	
3	20	L3	20	
3	20	L4	19	
3	20	L5	19	
3	30	L2	29	
3	30	L3	29	
3	30	L4	29	
3	30	L5	29	
3	40	L2	35	
3	40	L3	35	
3	40	L4	36	
3	40	L5	38	
3	50	L2	40	
3	50	L3	46	
3	50	L4	47	
3	50	L5	46	
3	60	L2	49	
3	60	L3	53	
3	60	L4	53	
3	60	L5	55	
3	70	L2	62	
3	70	L3	66	
3	70	L4	64	
3	70	L5	64	
3	80	L2	71	
3	80	L3	72	
3	80	L4	74	
3	80	L5	77	
3	90	L2	74	
3	90	L3	78	
3	90	L4	81	
3	90	L5	83	
3	100	L2	82	
3	100	L3	82	
3	100	L4	86	
3	100	L5	88	
4	10	L2	9	
4	10	L3	9	
4	10	L4	10	
4	10	L5	10	
4	20	L2	18	
4	20	L3	18	
4	20	L4	18	
4	20	L5	20	
4	30	L2	25	
4	30	L3	27	
4	30	L4	27	
4	30	L5	27	
4	40	L2	36	
4	40	L3	38	
4	40	L4	38	
4	40	L5	38	
4	50	L2	36	
4	50	L3	36	
4	50	L4	37	
4	50	L5	39	
4	60	L2	49	
4	60	L3	53	
4	60	L4	54	
4	60	L5	54	
4	70	L2	60	
4	70	L3	65	
4	70	L4	66	
4	70	L5	66	
4	80	L2	71	
4	80	L3	77	
4	80	L4	76	
4	80	L5	76	
4	90	L2	80	
4	90	L3	83	
4	90	L4	85	
4	90	L5	85	
4	100	L2	81	
4	100	L3	89	
4	100	L4	93	
4	100	L5	93	
5	10	L2	10	
5	10	L3	10	
5	10	L4	10	
5	10	L5	10	
5	20	L2	16	
5	20	L3	17	
5	20	L4	20	
5	20	L5	20	
5	30	L2	25	
5	30	L3	27	
5	30	L4	28	
5	30	L5	28	
5	40	L2	35	
5	40	L3	37	
5	40	L4	38	
5	40	L5	37	
5	50	L2	40	
5	50	L3	41	
5	50	L4	42	
5	50	L5	44	
5	60	L2	44	
5	60	L3	52	
5	60	L4	54	
5	60	L5	54	
5	70	L2	61	
5	70	L3	65	
5	70	L4	66	
5	70	L5	66	
5	80	L2	70	
5	80	L3	74	
5	80	L4	76	
5	80	L5	80	
5	90	L2	82	
5	90	L3	85	
5	90	L4	86	
5	90	L5	86	
5	100	L2	83	
5	100	L3	84	
5	100	L4	87	
5	100	L5	89	
6	10	L2	9	
6	10	L3	9	
6	10	L4	10	
6	10	L5	10	
6	20	L2	15	
6	20	L3	18	
6	20	L4	18	
6	20	L5	16	
6	30	L2	26	
6	30	L3	29	
6	30	L4	26	
6	30	L5	29	
6	40	L2	35	
6	40	L3	36	
6	40	L4	37	
6	40	L5	37	
6	50	L2	42	
6	50	L3	45	
6	50	L4	46	
6	50	L5	45	
6	60	L2	46	
6	60	L3	49	
6	60	L4	52	
6	60	L5	52	
6	70	L2	56	
6	70	L3	58	
6	70	L4	57	
6	70	L5	61	
6	80	L2	70	
6	80	L3	74	
6	80	L4	75	
6	80	L5	75	
6	90	L2	75	
6	90	L3	80	
6	90	L4	83	
6	90	L5	85	
6	100	L2	83	
6	100	L3	89	
6	100	L4	94	
6	100	L5	93	
7	10	L2	8	
7	10	L3	8	
7	10	L4	9	
7	10	L5	10	
7	20	L2	15	
7	20	L3	18	
7	20	L4	18	
7	20	L5	19	
7	30	L2	25	
7	30	L3	25	
7	30	L4	28	
7	30	L5	29	
7	40	L2	31	
7	40	L3	32	
7	40	L4	35	
7	40	L5	38	
7	50	L2	38	
7	50	L3	43	
7	50	L4	41	
7	50	L5	43	
7	60	L2	46	
7	60	L3	50	
7	60	L4	53	
7	60	L5	57	
7	70	L2	60	
7	70	L3	65	
7	70	L4	64	
7	70	L5	65	
7	80	L2	63	
7	80	L3	67	
7	80	L4	74	
7	80	L5	72	
7	90	L2	78	
7	90	L3	78	
7	90	L4	83	
7	90	L5	82	
7	100	L2	81	
7	100	L3	82	
7	100	L4	92	
7	100	L5	92	
8	10	L2	9	
8	10	L3	9	
8	10	L4	10	
8	10	L5	9	
8	20	L2	17	
8	20	L3	17	
8	20	L4	19	
8	20	L5	18	
8	30	L2	28	
8	30	L3	26	
8	30	L4	29	
8	30	L5	26	
8	40	L2	34	
8	40	L3	33	
8	40	L4	37	
8	40	L5	38	
8	50	L2	43	
8	50	L3	45	
8	50	L4	45	
8	50	L5	47	
8	60	L2	45	
8	60	L3	52	
8	60	L4	54	
8	60	L5	54	
8	70	L2	56	
8	70	L3	65	
8	70	L4	61	
8	70	L5	63	
8	80	L2	68	
8	80	L3	72	
8	80	L4	73	
8	80	L5	75	
8	90	L2	74	
8	90	L3	77	
8	90	L4	80	
8	90	L5	79	
8	100	L2	83	
8	100	L3	84	
8	100	L4	85	
8	100	L5	88	
9	10	L2	6	
9	10	L3	7	
9	10	L4	8	
9	10	L5	9	
9	20	L2	18	
9	20	L3	16	
9	20	L4	18	
9	20	L5	18	
9	30	L2	24	
9	30	L3	24	
9	30	L4	27	
9	30	L5	26	
9	40	L2	36	
9	40	L3	36	
9	40	L4	37	
9	40	L5	37	
9	50	L2	36	
9	50	L3	34	
9	50	L4	40	
9	50	L5	41	
9	60	L2	49	
9	60	L3	52	
9	60	L4	52	
9	60	L5	53	
9	70	L2	58	
9	70	L3	58	
9	70	L4	64	
9	70	L5	64	
9	80	L2	70	
9	80	L3	70	
9	80	L4	71	
9	80	L5	72	
9	90	L2	76	
9	90	L3	76	
9	90	L4	78	
9	90	L5	79	
9	100	L2	82	
9	100	L3	80	
9	100	L4	88	
9	100	L5	85	
10	10	L2	8	
10	10	L3	9	
10	10	L4	10	
10	10	L5	8	
10	20	L2	18	
10	20	L3	18	
10	20	L4	18	
10	20	L5	19	
10	30	L2	26	
10	30	L3	27	
10	30	L4	27	
10	30	L5	29	
10	40	L2	30	
10	40	L3	29	
10	40	L4	32	
10	40	L5	31	
10	50	L2	34	
10	50	L3	40	
10	50	L4	38	
10	50	L5	39	
10	60	L2	51	
10	60	L3	55	
10	60	L4	53	
10	60	L5	52	
10	70	L2	55	
10	70	L3	62	
10	70	L4	57	
10	70	L5	57	
10	80	L2	64	
10	80	L3	67	
10	80	L4	70	
10	80	L5	67	
10	90	L2	76	
10	90	L3	77	
10	90	L4	77	
10	90	L5	80	
10	100	L2	78	
10	100	L3	85	
10	100	L4	85	
10	100	L5	89	
11	10	L2	9	
11	10	L3	9	
11	10	L4	10	
11	10	L5	10	
11	20	L2	16	
11	20	L3	17	
11	20	L4	17	
11	20	L5	19	
11	30	L2	28	
11	30	L3	29	
11	30	L4	29	
11	30	L5	29	
11	40	L2	33	
11	40	L3	37	
11	40	L4	38	
11	40	L5	40	
11	50	L2	41	
11	50	L3	44	
11	50	L4	44	
11	50	L5	46	
11	60	L2	51	
11	60	L3	55	
11	60	L4	55	
11	60	L5	58	
11	70	L2	62	
11	70	L3	64	
11	70	L4	63	
11	70	L5	63	
11	80	L2	71	
11	80	L3	71	
11	80	L4	73	
11	80	L5	74	
11	90	L2	76	
11	90	L3	76	
11	90	L4	79	
11	90	L5	82	
11	100	L2	86	
11	100	L3	91	
11	100	L4	93	
11	100	L5	89	
12	10	L2	7	
12	10	L3	9	
12	10	L4	8	
12	10	L5	9	
12	20	L2	18	
12	20	L3	19	
12	20	L4	19	
12	20	L5	18	
12	30	L2	24	
12	30	L3	26	
12	30	L4	26	
12	30	L5	28	
12	40	L2	34	
12	40	L3	38	
12	40	L4	35	
12	40	L5	37	
12	50	L2	47	
12	50	L3	45	
12	50	L4	48	
12	50	L5	48	
12	60	L2	53	
12	60	L3	55	
12	60	L4	55	
12	60	L5	57	
12	70	L2	57	
12	70	L3	58	
12	70	L4	60	
12	70	L5	61	
12	80	L2	69	
12	80	L3	70	
12	80	L4	73	
12	80	L5	73	
12	90	L2	68	
12	90	L3	69	
12	90	L4	72	
12	90	L5	79	
12	100	L2	86	
12	100	L3	86	
12	100	L4	90	
12	100	L5	91	
13	10	L2	9	
13	10	L3	9	
13	10	L4	9	
13	10	L5	10	
13	20	L2	13	
13	20	L3	14	
13	20	L4	16	
13	20	L5	16	
13	30	L2	27	
13	30	L3	26	
13	30	L4	27	
13	30	L5	27	
13	40	L2	31	
13	40	L3	33	
13	40	L4	35	
13	40	L5	36	
13	50	L2	42	
13	50	L3	46	
13	50	L4	46	
13	50	L5	48	
13	60	L2	49	
13	60	L3	50	
13	60	L4	55	
13	60	L5	57	
13	70	L2	55	
13	70	L3	58	
13	70	L4	61	
13	70	L5	59	
13	80	L2	64	
13	80	L3	69	
13	80	L4	74	
13	80	L5	77	
13	90	L2	80	
13	90	L3	80	
13	90	L4	81	
13	90	L5	85	
13	100	L2	90	
13	100	L3	90	
13	100	L4	92	
13	100	L5	96	
14	10	L2	7	
14	10	L3	7	
14	10	L4	7	
14	10	L5	8	
14	20	L2	18	
14	20	L3	19	
14	20	L4	19	
14	20	L5	20	
14	30	L2	26	
14	30	L3	28	
14	30	L4	28	
14	30	L5	28	
14	40	L2	30	
14	40	L3	30	
14	40	L4	33	
14	40	L5	36	
14	50	L2	40	
14	50	L3	42	
14	50	L4	44	
14	50	L5	48	
14	60	L2	51	
14	60	L3	56	
14	60	L4	51	
14	60	L5	58	
14	70	L2	55	
14	70	L3	59	
14	70	L4	62	
14	70	L5	61	
14	80	L2	68	
14	80	L3	72	
14	80	L4	76	
14	80	L5	74	
14	90	L2	77	
14	90	L3	81	
14	90	L4	82	
14	90	L5	86	
14	100	L2	82	
14	100	L3	88	
14	100	L4	91	
14	100	L5	93	
15	10	L2	7	
15	10	L3	8	
15	10	L4	9	
15	10	L5	10	
15	20	L2	11	
15	20	L3	13	
15	20	L4	15	
15	20	L5	15	
15	30	L2	18	
15	30	L3	18	
15	30	L4	18	
15	30	L5	21	
15	40	L2	29	
15	40	L3	33	
15	40	L4	34	
15	40	L5	37	
15	50	L2	40	
15	50	L3	42	
15	50	L4	42	
15	50	L5	45	
15	60	L2	45	
15	60	L3	45	
15	60	L4	46	
15	60	L5	52	
15	70	L2	50	
15	70	L3	51	
15	70	L4	50	
15	70	L5	54	
15	80	L2	67	
15	80	L3	69	
15	80	L4	71	
15	80	L5	70	
15	90	L2	71	
15	90	L3	73	
15	90	L4	77	
15	90	L5	81	
15	100	L2	69	
15	100	L3	72	
15	100	L4	76	
15	100	L5	81	
16	10	L2	7	
16	10	L3	8	
16	10	L4	8	
16	10	L5	9	
16	20	L2	16	
16	20	L3	16	
16	20	L4	17	
16	20	L5	17	
16	30	L2	23	
16	30	L3	26	
16	30	L4	27	
16	30	L5	28	
16	40	L2	37	
16	40	L3	37	
16	40	L4	38	
16	40	L5	40	
16	50	L2	37	
16	50	L3	44	
16	50	L4	42	
16	50	L5	44	
16	60	L2	50	
16	60	L3	55	
16	60	L4	55	
16	60	L5	58	
16	70	L2	53	
16	70	L3	62	
16	70	L4	60	
16	70	L5	61	
16	80	L2	68	
16	80	L3	71	
16	80	L4	72	
16	80	L5	73	
16	90	L2	75	
16	90	L3	84	
16	90	L4	84	
16	90	L5	84	
16	100	L2	82	
16	100	L3	87	
16	100	L4	90	
16	100	L5	89	
17	10	L2	7	
17	10	L3	7	
17	10	L4	7	
17	10	L5	8	
17	20	L2	15	
17	20	L3	16	
17	20	L4	16	
17	20	L5	17	
17	30	L2	27	
17	30	L3	28	
17	30	L4	28	
17	30	L5	29	
17	40	L2	31	
17	40	L3	32	
17	40	L4	34	
17	40	L5	35	
17	50	L2	42	
17	50	L3	43	
17	50	L4	45	
17	50	L5	45	
17	60	L2	54	
17	60	L3	56	
17	60	L4	57	
17	60	L5	57	
17	70	L2	54	
17	70	L3	61	
17	70	L4	61	
17	70	L5	64	
17	80	L2	69	
17	80	L3	73	
17	80	L4	74	
17	80	L5	74	
17	90	L2	67	
17	90	L3	71	
17	90	L4	74	
17	90	L5	81	
17	100	L2	81	
17	100	L3	86	
17	100	L4	83	
17	100	L5	86	
18	10	L2	8	
18	10	L3	9	
18	10	L4	9	
18	10	L5	10	
18	20	L2	19	
18	20	L3	18	
18	20	L4	19	
18	20	L5	18	
18	30	L2	29	
18	30	L3	29	
18	30	L4	29	
18	30	L5	29	
18	40	L2	35	
18	40	L3	34	
18	40	L4	38	
18	40	L5	38	
18	50	L2	43	
18	50	L3	45	
18	50	L4	47	
18	50	L5	48	
18	60	L2	51	
18	60	L3	53	
18	60	L4	53	
18	60	L5	55	
18	70	L2	55	
18	70	L3	61	
18	70	L4	63	
18	70	L5	64	
18	80	L2	71	
18	80	L3	67	
18	80	L4	74	
18	80	L5	70	
18	90	L2	69	
18	90	L3	74	
18	90	L4	80	
18	90	L5	80	
18	100	L2	87	
18	100	L3	86	
18	100	L4	92	
18	100	L5	89	
19	10	L2	7	
19	10	L3	7	
19	10	L4	7	
19	10	L5	9	
19	20	L2	15	
19	20	L3	14	
19	20	L4	15	
19	20	L5	18	
19	30	L2	24	
19	30	L3	25	
19	30	L4	25	
19	30	L5	25	
19	40	L2	35	
19	40	L3	36	
19	40	L4	37	
19	40	L5	39	
19	50	L2	40	
19	50	L3	42	
19	50	L4	44	
19	50	L5	44	
19	60	L2	49	
19	60	L3	51	
19	60	L4	54	
19	60	L5	52	
19	70	L2	56	
19	70	L3	56	
19	70	L4	60	
19	70	L5	61	
19	80	L2	61	
19	80	L3	67	
19	80	L4	69	
19	80	L5	70	
19	90	L2	68	
19	90	L3	72	
19	90	L4	77	
19	90	L5	78	
19	100	L2	71	
19	100	L3	78	
19	100	L4	77	
19	100	L5	82	
20	10	L2	9	
20	10	L3	9	
20	10	L4	10	
20	10	L5	9	
20	20	L2	16	
20	20	L3	18	
20	20	L4	18	
20	20	L5	20	
20	30	L2	22	
20	30	L3	27	
20	30	L4	25	
20	30	L5	28	
20	40	L2	33	
20	40	L3	36	
20	40	L4	36	
20	40	L5	37	
20	50	L2	41	
20	50	L3	42	
20	50	L4	42	
20	50	L5	46	
20	60	L2	53	
20	60	L3	55	
20	60	L4	56	
20	60	L5	55	
20	70	L2	60	
20	70	L3	62	
20	70	L4	63	
20	70	L5	66	
20	80	L2	72	
20	80	L3	74	
20	80	L4	76	
20	80	L5	78	
20	90	L2	75	
20	90	L3	76	
20	90	L4	81	
20	90	L5	82	
20	100	L2	85	
20	100	L3	87	
20	100	L4	91	
20	100	L5	94	
21	10	L2	9	
21	10	L3	9	
21	10	L4	9	
21	10	L5	9	
21	20	L2	11	
21	20	L3	13	
21	20	L4	14	
